1,1024,16384,0.023739896296825182
1,2048,15360,0.277937535985979
1,3072,14336,0.24698628265129177
1,4096,13312,0.2625114711274504
1,5120,12288,0.26450822035326527
1,6144,11264,0.3309044861040053
1,7168,10240,0.34398359740655243
1,8192,9216,0.2810512762976775
1,9216,8192,0.3340186310750916
1,10240,7168,0.29037457582452075
1,11264,6144,0.2990669271265839
1,12288,5120,0.3251606078598625
1,13312,4096,0.3619834337656873
1,14336,3072,0.30990137381238614
1,15360,2048,0.35682210286752775
1,16384,1024,0.45556285499133464
0,1024,16384,0.04698002207016485
0,2048,15360,0.07009727146473536
0,3072,14336,0.05636079899041533
0,4096,13312,0.057570133047186056
0,5120,12288,0.047315213777539625
0,6144,11264,0.02921162365468238
0,7168,10240,0.03171955942334603
0,8192,9216,0.04324038785605534
0,9216,8192,0.05020537757990398
0,10240,7168,0.04441560479117918
0,11264,6144,0.14370448963254867
0,12288,5120,0.13604470778703878
0,13312,4096,0.10096986868634641
0,14336,3072,0.11955111751397195
0,15360,2048,0.10236986392580474
0,16384,1024,0.0803675526948668
0,1024,1024,0.007315543971150647
0,2048,2048,0.018416489707221526
0,4096,4096,0.03570073864744397
0,8192,8192,0.04761971233963604
0,16384,16384,0.07238461731557481
0,32768,32768,0.08092511209830608
1,1024,1024,0.0811927062306897
1,2048,2048,0.29940833855685756
1,4096,4096,0.36069518062075323
1,8192,8192,0.3337308937914086
1,16384,16384,0.31694665599085226
1,32768,32768,0.26735400647372976
